Nombre,Genero,Fecha de lanzamiento,Duracion,Director,Productora cinematografica,Presupuesto,Recaudacion,Ratings,Reviews
Takers,"['Action', 'Crime', 'Drama', 'Thriller']",2010-08-26,107,,Rainforest Entertainment,32000000,80205382,6.216,[]
Ramona and Beezus,"['Comedy', 'Family']",2010-07-23,103,,Dune Entertainment,15000000,27293743,6.522,[]
Little Big Soldier,"['Action', 'Comedy', 'Adventure']",2010-02-14,96,,Bona Entertainment,25000000,0,6.954,[]
King of Thorn,"['Fantasy', 'Animation', 'Science Fiction']",2010-05-01,109,,KADOKAWA,0,0,6.6,[]
The Bounty Hunter,"['Comedy', 'Action', 'Romance']",2010-03-16,110,,Original Film,40000000,136300000,5.853,[]
Charlie St. Cloud,"['Drama', 'Romance']",2010-07-30,99,,Marc Platt Productions,44000000,48190704,6.935,[]
The Nutcracker: The Untold Story,"['Music', 'Fantasy', 'Action', 'Family']",2010-11-24,110,,Vnesheconombank,90000000,17177993,5.1,[]
Trust,"['Crime', 'Drama', 'Thriller']",2010-09-10,104,,Dark Harbor Stories,9500000,120000,6.6,[]
The Servant,"['Romance', 'Drama', 'History', 'Comedy']",2010-06-02,124,,Barunson E&A,0,0,6.0,[]
The Ward,"['Horror', 'Mystery']",2010-09-13,88,,FilmNation Entertainment,10000000,5343820,5.8,[]
Survival of the Dead,"['Horror', 'Drama', 'Comedy']",2010-05-06,90,,Blank of the Dead Productions,4000000,0,4.875,[]
Four Lions,"['Comedy', 'Crime', 'Drama']",2010-05-07,97,,Warp Films,3900000,6200000,6.958,[]
Vampires Suck,"['Horror', 'Comedy']",2010-08-18,82,,Road Rebel,20000000,80547866,4.297,[]
Scared Shrekless,"['Animation', 'Comedy', 'Family']",2010-10-28,21,,DreamWorks Animation,0,0,6.639,[]
Blue Valentine,"['Drama', 'Romance']",2010-12-16,112,,Cottage Industries,1000000,15440333,6.944,[]
Don't Be Afraid of the Dark,"['Fantasy', 'Horror', 'Thriller']",2010-11-06,99,,Miramax,25000000,36993168,5.76,[]
Of Gods and Men,"['Drama', 'History']",2010-09-08,120,,Why Not Productions,4000000,41424067,6.673,[]
Stomp the Yard 2: Homecoming,"['Drama', 'Music']",2010-10-10,90,,Sony Pictures,0,0,5.5,[]
Avatar: Creating the World of Pandora,['Documentary'],2010-02-07,23,,Lightstorm Entertainment,0,0,6.763,[]
Uncle Boonmee Who Can Recall His Past Lives,"['Drama', 'Fantasy']",2010-06-25,114,,Illuminations Films,0,0,6.636,[]
The Boy Who Cried Werewolf,"['Family', 'Fantasy', 'TV Movie', 'Comedy']",2010-10-22,97,,Nickelodeon Productions,0,0,6.459,[]
Colorful,"['Animation', 'Drama', 'Family']",2010-08-21,127,,SUNRISE,0,0,7.262,[]
The Disappearance of Haruhi Suzumiya,"['Comedy', 'Science Fiction', 'Mystery', 'Animation', 'Drama']",2010-02-05,162,,Kyoto Animation,0,0,7.849,[]
Gun,"['Action', 'Crime']",2010-06-10,81,,Cheetah Vision,10000000,0,5.3,[]
